split,id,language,reference,bf16,q8,q4,q8_errors,q4_errors,q4_minus_q8_errors,normalized_q8_q4_equal
pilot,00711,mixed,to to get a score to去把人挤走开然后然后去一些灌篮得分之类的,to to get a score to去把人挤走开，然后然后去一些灌篮得分之类的。,to to get a score，to去把人挤走开，然后然后去一些灌篮、得分之类的。,to to get a score to去把人挤走开，然后然后去一些灌篮得分之类的。,0,0,0,True
pilot,00715,mixed,说到得分后卫我最喜欢的得分后卫是McGrady Tracy McGrady,说到得分后卫，我最喜欢的得分后卫是McGrady，Tracy McGrady。,说到得分后卫，我最喜欢的得分后卫是McGrady，Tracy McGrady。,说到得分后卫，我最喜欢的得分后卫是McGrady，Tracy McGrady。,0,0,0,True
pilot,01055,mixed,好那我们现在开始我们第二个topic就是你认为你就是你认为children应不应该有自己的smart phone,好，那我们现在开始我们第二个topic，就是你认为，你就是你认为，丘疹应不应该有自己的smartphone？,好，那我们现在开始我们第二个topic，就是你认为，你就是你认为，丘疹应不应该有自己的smartphone？,好，那我们现在开始我们第二个topic，就是你认为，你就是你认为，邱振应不应该有自己的smartphone？,4,4,0,False
pilot,00989,mixed,他他make a mistake,他他 make a mistake.,他他 make a mistake.,他他make a mistake。,0,0,0,True
pilot,00434,mixed,然后但是我当时读了很多相关的paper,然后，但是我当时读了很多相关的paper。,然后，但是我当时读了很多相关的paper。,然后，但是我当时读了很多相关的paper。,0,0,0,True
pilot,01200,mixed,block chain是一个非常复杂的技术因为我当时在网上搜了很久,blockchain是一个非常复杂的技术，因为我当时在网上搜了很久。,blockchain是一个非常复杂的技术，因为我当时在网上搜了很久。,blockchain是一个非常复杂的技术，因为我当时在网上搜了很久。,2,2,0,True
holdout,00925,zh,但是我第一次考的非常的差非常差,但是我第一次考的非常的差，非常差。,但是我第一次考的非常的差，非常差。,但是我第一次考的非常的差，非常差。,0,0,0,True
holdout,00372,zh,对所以后来就说那就找一个,对，所以后来就想说，那就找一个。,对，所以后来就想说，那就找一个。,对，所以后来就想说，那就找一个。,1,1,0,True
holdout,00127,zh,看电影听音乐不看书,看电影，听音乐，不看书。,看电影，听音乐，不看书。,看电影，听音乐，不看书。,0,0,0,True
holdout,00700,zh,对你能感觉到一种视觉的享受,对，你能感觉到一种视觉的享受。,对，你能感觉到一种视觉的享受。,对，你能感觉到一种视觉的享受。,0,0,0,True
holdout,00755,zh,其实我也是到大学才发现就学习不应该是整天,其实我也是到大学才发现，就学习不应该是整天。,其实我也是到大学才发现，就学习不应该是整天。,其实我也是到大学才发现，就学习不应该是整天。,0,0,0,True
holdout,00714,zh,当然首先你要投篮要非常准的情况下,当然，首先你要投篮要非常准的情况下。,当然，首先你要投篮要非常准的情况下。,当然，首先你要投篮要非常准的情况下。,0,0,0,True
holdout,00280,zh,呃从这边离开之后回去台湾,呃，从这边离开之后，回去台湾。,呃，从这边离开之后，回去台湾。,呃，从这边离开之后，回去台湾。,0,0,0,True
holdout,00669,zh,对但是而且我同意就说我也比较喜欢那种,对，但是，而且我同意，就是我也比较喜欢那种。,对，但是，而且我同意，就是我也比较喜欢那种。,对，但是，而且我同意，就是我也比较喜欢那种。,1,1,0,True
holdout,00958,zh,所以他们一下课的时候十二点半下课你就要去听,基本上一下课，十二点半下课，你就要去听。,基本上一下课，十二点半下课，你就要去听。,基本上一下课十二点半下课，你就要去听。,7,7,0,True
holdout,01040,zh,去因去因为他就是发现去去攻击他的系统漏洞之类的,去，去，因为他就是发现去去攻击他的系统漏洞之类的。,去，去，因为他就是发现去去攻击他的系统漏洞之类的。,去，去，因为他就是发现去去攻击他的系统漏洞之类的。,1,1,0,True
holdout,00877,en,i i mean you can not choose uh,I I mean you cannot choose uh.,I I mean you cannot choose uh.,"I I mean, you cannot choose, uh.",2,2,0,True
holdout,01091,en,slowly occupied by,Slowly occupied by.,Slowly occupied by.,Slowly occupied by.,0,0,0,True
holdout,00779,en,but my parents prefer me to study in Hong Kong because it's close to my hometown,But my parents prefer me to study in Hong Kong because it's close to my hometown.,But my parents prefer me to study in Hong Kong because it's close to my hometown.,But my parents prefer me to study in Hong Kong because it's close to my hometown.,0,0,0,True
holdout,00048,en,um but it's not that technical so I decided to find a job like technology consulting,"But it's not that technical, so I decided to find a job like technology consulting.","But it's not that technical, so I decided to find a job like technology consulting.","But it's not that technical, so I decided to find a job like technology consulting.",1,1,0,True
holdout,00777,en,Actually i did not consider about the distance problem,"Actually, I did not consider about the distance problem.","Actually, I did not consider about the distance problem.","Actually, I did not consider about the distance problem.",0,0,0,True
holdout,00043,en,um actually I find the job in last semester,"Um. Actually, I found a job in last semester.","Um. Actually, I found a job in last semester.","Um. Actually, I found a job in last semester.",2,2,0,True
holdout,00816,en,uh period of master degree in hong kong is only one year but I study more,"A period of master degree in Hong Kong is only one year, but I study more.","A period of master degree in Hong Kong is only one year, but I study more.","A period of master' degree in Hong Kong is only one year, but I study more.",1,1,0,True
holdout,00052,en,you need to learn how to communicate with us and givesome technical solutions,You need to learn how to communicate with others and give some technical solutions.,You need to learn how to communicate with others and give some technical solutions.,You need to learn how to communicate with others and give some technical solutions.,3,3,0,True
holdout,00039,en,so uh what's your uh what's your plan for your career,"So, what's your what's your plan for your career?","So, what's your what's your plan for your career?","So, what's your what's your plan for your career?",2,2,0,True
holdout,00046,en,since um four years ago,Since ah four years ago.,Since ah four years ago.,"Since ah, four years ago.",1,1,0,True
holdout,01205,mixed,就大部分还是比较偏 [UNK] finance这一块,多大部分还是比较偏finance finance这一块。,多大部分还是比较偏finance finance这一块。,多大部分还是比较偏finance finance这一块。,2,2,0,True
holdout,00740,mixed,但是我觉得homework还蛮重要的就是我觉得对我来说是一个quantity的问题,但是我觉得通过卡蛮重要的，就是我觉得对我来说是一个quantity的问题。,但是我觉得通过卡蛮重要的，就是我觉得对我来说是一个quantity的问题。,但是我觉得红绿卡蛮重要的，就是我觉得对我来说是一个quantity的问题。,3,3,0,False
holdout,01127,mixed,我们也学big big data [UNK] 然后我们主要是拿它来做一些,我们也学背背data上学期，然后我们主要是拿来做一些。,我们也学背背data上学期，然后我们主要是拿来做一些。,我们也学背背data上学期，然后我们主要是拿来做一些。,6,6,0,True
holdout,00394,mixed,我是说就是postgraduate的major,我是说，就是postgraduate的major。,我是说，就是postgraduate的major。,我是说，就是postgraduate的major。,0,0,0,True
holdout,00138,mixed,嗯所以你现在还是比较focus在找工作这件事上,嗯，所以你现在还是比较focus在找工作这件事。,嗯，所以你现在还是比较focus在找工作这件事。,嗯，所以你现在还是比较focus在找工作这件事。,1,1,0,True
holdout,01192,mixed,我们一直是我们讲的是privacy的问题block,我们也只是，我们讲的是privacy的问题，不。,我们也只是，我们讲的是privacy的问题，不。,我们也只是，我们讲的是privacy的问题。,3,3,0,False
holdout,00361,mixed,mistake is because我当初其实原本是想要往US去走但我那时候是在the third i remember third year,mistake is because我当初其实原本是想要往US去走，到那时候是在the third，原本是third year。,mistake is because我当初其实原本是想要往US去走，到那时候是在the third，原本是third year。,mistake is because我当初其实原本是想要往US去走，到那时候是在the third，原本是third year。,5,5,0,True
holdout,00055,mixed,um运动啊男生一般不都喜欢运动,嗯，运动啊，男生一般不都喜欢运动？,嗯，运动啊，男生一般不都喜欢运动？,嗯，运动啊，男生一般不都喜欢运动？,1,1,0,True
holdout,00358,mixed,听起来蛮make sense我当初来,听起来也蛮make sense，我当初来。,听起来也蛮make sense，我当初来。,听起来也蛮make sense，我当初来。,1,1,0,True
holdout,01278,mixed,可以用mobile payments但是大多数一些奢侈品品牌或者是一些mall里面,可以用mobile payments，但是大多数一些奢侈品品牌或者是一些mall里面。,可以用mobile payments，但是大多数一些奢侈品品牌或者是一些mall里面。,可以用mobile payments，但是大多数一些奢侈品品牌或者是一些mall里面。,0,0,0,True
